A2WH3GIS2KF8LU, 16, 1491851485358, stimulus, square, small, blue, not_striped, , N, 1728
A2WH3GIS2KF8LU, 17, 1491851486858, stimulus, square, big, red, not_striped, , N, 1499
AELOYBHVZFDW9, 0, 1491851536295, blicket, square, big, blue, not_striped, 
AELOYBHVZFDW9, 3, 1491851554371, stimulus, square, small, blue, not_striped, , Y, 2752
AELOYBHVZFDW9, 4, 1491851561738, stimulus, square, big, red, not_striped, , Y, 7356
AELOYBHVZFDW9, 5, 1491851567594, stimulus, square, small, blue, striped, , Y, 5796
AELOYBHVZFDW9, 6, 1491851568490, stimulus, square, big, red, striped, , Y, 876
AELOYBHVZFDW9, 7, 1491851569986, stimulus, triangle, big, blue, striped, , N, 1483
AELOYBHVZFDW9, 8, 1491851571410, stimulus, square, big, blue, striped, , Y, 1413
AELOYBHVZFDW9, 9, 1491851572466, stimulus, square, small, red, striped, , Y, 1039
AELOYBHVZFDW9, 10, 1491851573418, stimulus, square, small, red, not_striped, , Y, 945
AELOYBHVZFDW9, 11, 1491851574523, stimulus, triangle, small, red, not_striped, , N, 1099
AELOYBHVZFDW9, 12, 1491851575700, stimulus, triangle, small, red, striped, , N, 1166
AELOYBHVZFDW9, 13, 1491851576634, stimulus, triangle, big, red, not_striped, , N, 928
AELOYBHVZFDW9, 14, 1491851577570, stimulus, triangle, big, blue, not_striped, , N, 930
AELOYBHVZFDW9, 15, 1491851578442, stimulus, triangle, small, blue, striped, , N, 858
AELOYBHVZFDW9, 16, 1491851579682, stimulus, square, big, blue, not_striped, , Y, 1234
AELOYBHVZFDW9, 17, 1491851580858, stimulus, triangle, small, blue, not_striped, , N, 1170
AELOYBHVZFDW9, 18, 1491851592602, Response, it is a square
A8MTR8ZH4OBNP, 0, 1491851587847, blicket, triangle, small, red, not_striped, 
A8MTR8ZH4OBNP, 3, 1491851646787, stimulus, triangle, small, red, striped, , N, 6087
A8MTR8ZH4OBNP, 4, 1491851648074, stimulus, triangle, big, red, striped, , N, 1284
A8MTR8ZH4OBNP, 5, 1491851649330, stimulus, triangle, small, blue, not_striped, , N, 1254
A8MTR8ZH4OBNP, 6, 1491851650482, stimulus, square, big, blue, striped, , N, 1150
A8MTR8ZH4OBNP, 7, 1491851651506, stimulus, triangle, big, blue, striped, , N, 1023
A8MTR8ZH4OBNP, 8, 1491851652930, stimulus, triangle, big, red, not_striped, , Y, 1422
A8MTR8ZH4OBNP, 9, 1491851653706, stimulus, square, small, red, striped, , N, 774
A8MTR8ZH4OBNP, 10, 1491851654770, stimulus, triangle, small, blue, striped, , N, 1060
A8MTR8ZH4OBNP, 11, 1491851655554, stimulus, triangle, big, blue, not_striped, , N, 782
A8MTR8ZH4OBNP, 12, 1491851656402, stimulus, square, small, red, not_striped, , N, 848
A8MTR8ZH4OBNP, 13, 1491851657106, stimulus, square, small, blue, not_striped, , N, 702
A8MTR8ZH4OBNP, 14, 1491851657698, stimulus, square, big, red, not_striped, , N, 591
A8MTR8ZH4OBNP, 15, 1491851658154, stimulus, square, big, red, striped, , N, 456
A8MTR8ZH4OBNP, 16, 1491851659082, stimulus, triangle, small, red, not_striped, , Y, 928
A8MTR8ZH4OBNP, 17, 1491851659754, stimulus, square, big, blue, not_striped, , N, 671
A8MTR8ZH4OBNP, 18, 1491851669673, Response, being a solid red triangle
A1KH1O9AZ7S642, 0, 1491851726349, blicket, triangle, small, blue, striped, 
A1KH1O9AZ7S642, 3, 1491851751676, stimulus, triangle, small, red, not_striped, , Y, 1702
A1KH1O9AZ7S642, 4, 1491851753224, stimulus, triangle, big, blue, striped, , Y, 1524
A1KH1O9AZ7S642, 5, 1491851754613, stimulus, triangle, small, blue, striped, , Y, 1359
A1KH1O9AZ7S642, 6, 1491851756032, stimulus, square, small, blue, not_striped, , N, 1404
A1KH1O9AZ7S642, 7, 1491851758813, stimulus, square, small, blue, striped, , N, 2757
A1KH1O9AZ7S642, 8, 1491851759950, stimulus, triangle, big, blue, not_striped, , Y, 1116
A1KH1O9AZ7S642, 9, 1491851761038, stimulus, square, small, red, striped, , N, 1056
A1KH1O9AZ7S642, 10, 1491851762101, stimulus, square, small, red, not_striped, , N, 1045
A1KH1O9AZ7S642, 11, 1491851762930, stimulus, square, big, blue, striped, , N, 805
A1KH1O9AZ7S642, 12, 1491851763767, stimulus, triangle, small, red, striped, , Y, 813
A1KH1O9AZ7S642, 13, 1491851764516, stimulus, triangle, big, red, not_striped, , Y, 734
A1KH1O9AZ7S642, 14, 1491851765150, stimulus, triangle, big, red, striped, , Y, 610
A1KH1O9AZ7S642, 15, 1491851766294, stimulus, square, big, blue, not_striped, , N, 1130
A1KH1O9AZ7S642, 16, 1491851766909, stimulus, square, big, red, not_striped, , N, 600
A1KH1O9AZ7S642, 17, 1491851767576, stimulus, square, big, red, striped, , N, 644
A1KH1O9AZ7S642, 18, 1491851789399, Response, a blicket must be a triangle. It can have solid colors or stripes. It must be a triangle, though. 
A3E3RCR51Z8EVP, 0, 1491851885999, blicket, triangle, big, red, striped, 
A3E3RCR51Z8EVP, 3, 1491851902300, stimulus, triangle, big, red, not_striped, , Y, 3119
A3E3RCR51Z8EVP, 4, 1491851903577, stimulus, triangle, big, blue, not_striped, , Y, 1274
A3E3RCR51Z8EVP, 5, 1491851905305, stimulus, square, big, red, striped, , N, 1725
A3E3RCR51Z8EVP, 6, 1491851906642, stimulus, square, small, blue, not_striped, , N, 1336
A3E3RCR51Z8EVP, 7, 1491851907657, stimulus, square, big, red, not_striped, , N, 1013
A3E3RCR51Z8EVP, 8, 1491851910966, stimulus, triangle, small, blue, striped, , Y, 3307
A3E3RCR51Z8EVP, 9, 1491851912043, stimulus, triangle, big, blue, striped, , Y, 1074
A3E3RCR51Z8EVP, 10, 1491851912638, stimulus, triangle, big, red, striped, , Y, 593
A3E3RCR51Z8EVP, 11, 1491851913344, stimulus, square, small, red, not_striped, , N, 705
A3E3RCR51Z8EVP, 12, 1491851914284, stimulus, triangle, small, red, striped, , Y, 938
A3E3RCR51Z8EVP, 13, 1491851915101, stimulus, square, small, blue, striped, , N, 815
A3E3RCR51Z8EVP, 14, 1491851915795, stimulus, square, big, blue, striped, , N, 691
A3E3RCR51Z8EVP, 15, 1491851917249, stimulus, triangle, small, blue, not_striped, , N, 1452
A3E3RCR51Z8EVP, 16, 1491851918562, stimulus, square, small, red, striped, , N, 1311
A3E3RCR51Z8EVP, 17, 1491851919992, stimulus, triangle, small, red, not_striped, , Y, 1429
A3E3RCR51Z8EVP, 18, 1491851938501, Response, I think the shape must be a triangle but otherwise it can be different sizes and colors.
