ACSS93E03ZUGX, 10, 1491853438785, stimulus, triangle, small, red, striped, , Y, 733
ACSS93E03ZUGX, 11, 1491853439409, stimulus, triangle, big, blue, striped, , Y, 621
ACSS93E03ZUGX, 12, 1491853440082, stimulus, square, big, red, striped, , N, 670
ACSS93E03ZUGX, 13, 1491853440673, stimulus, square, big, red, not_striped, , N, 590
ACSS93E03ZUGX, 14, 1491853441410, stimulus, triangle, small, red, not_striped, , Y, 736
ACSS93E03ZUGX, 15, 1491853441969, stimulus, triangle, small, blue, striped, , Y, 557
ACSS93E03ZUGX, 16, 1491853442657, stimulus, square, small, red, striped, , N, 686
ACSS93E03ZUGX, 17, 1491853443234, stimulus, square, small, blue, striped, , N, 575
ACSS93E03ZUGX, 18, 1491853459812, Response, The shape regardless of color indicates if an object is a blicket or not.
A1VNYP58BTF4HX, 0, 1491853837706, blicket, triangle, small, red, striped, 
A1VNYP58BTF4HX, 3, 1491853842601, stimulus, triangle, big, red, not_striped, , Y, 1655
A1VNYP58BTF4HX, 4, 1491853842944, stimulus, square, big, red, not_striped, , Y, 339
A1VNYP58BTF4HX, 5, 1491853843304, stimulus, square, small, blue, striped, , Y, 351
A1VNYP58BTF4HX, 6, 1491853843673, stimulus, square, small, red, not_striped, , N, 365
A1VNYP58BTF4HX, 7, 1491853843897, stimulus, triangle, big, blue, not_striped, , Y, 222
A1VNYP58BTF4HX, 8, 1491853844030, stimulus, triangle, small, blue, not_striped, , N, 130
A1VNYP58BTF4HX, 9, 1491853844159, stimulus, triangle, small, red, not_striped, , Y, 126
A1VNYP58BTF4HX, 10, 1491853844252, stimulus, square, small, red, striped, , N, 86
A1VNYP58BTF4HX, 11, 1491853844485, stimulus, triangle, small, red, striped, , Y, 228
A1VNYP58BTF4HX, 12, 1491853844510, stimulus, square, big, blue, striped, , N, 21
A1VNYP58BTF4HX, 13, 1491853844696, stimulus, square, small, blue, not_striped, , Y, 178
A1VNYP58BTF4HX, 14, 1491853844784, stimulus, triangle, small, blue, striped, , N, 84
A1VNYP58BTF4HX, 15, 1491853844913, stimulus, square, big, blue, not_striped, , Y, 126
A1VNYP58BTF4HX, 16, 1491853844979, stimulus, triangle, big, blue, striped, , N, 62
A1VNYP58BTF4HX, 17, 1491853845340, stimulus, triangle, big, red, striped, , Y, 355
A1VNYP58BTF4HX, 18, 1491853852075, Response, red or blue
A4J4GGMKJ68L0, 0, 1491853833420, blicket, triangle, small, blue, not_striped, 
A4J4GGMKJ68L0, 3, 1491853855391, stimulus, square, small, red, striped, , N, 1525
A4J4GGMKJ68L0, 4, 1491853856812, stimulus, triangle, big, blue, not_striped, , Y, 1418
A4J4GGMKJ68L0, 5, 1491853858300, stimulus, square, small, blue, not_striped, , N, 1486
A4J4GGMKJ68L0, 6, 1491853859030, stimulus, square, big, blue, not_striped, , N, 728
A4J4GGMKJ68L0, 7, 1491853859219, stimulus, square, big, red, not_striped, , N, 187
A4J4GGMKJ68L0, 8, 1491853859821, stimulus, square, small, red, not_striped, , N, 601
A4J4GGMKJ68L0, 9, 1491853860380, stimulus, square, big, red, striped, , N, 553
A4J4GGMKJ68L0, 10, 1491853862974, stimulus, triangle, small, blue, striped, , Y, 2588
A4J4GGMKJ68L0, 11, 1491853864109, stimulus, triangle, small, blue, not_striped, , Y, 1132
A4J4GGMKJ68L0, 12, 1491853865219, stimulus, triangle, big, red, striped, , N, 1105
A4J4GGMKJ68L0, 13, 1491853865625, stimulus, triangle, big, red, not_striped, , N, 403
A4J4GGMKJ68L0, 14, 1491853866092, stimulus, square, big, blue, striped, , N, 462
A4J4GGMKJ68L0, 15, 1491853866807, stimulus, triangle, small, red, not_striped, , N, 713
A4J4GGMKJ68L0, 16, 1491853867402, stimulus, triangle, big, blue, striped, , N, 590
A4J4GGMKJ68L0, 17, 1491853867822, stimulus, triangle, small, red, striped, , N, 415
A4J4GGMKJ68L0, 18, 1491853877969, Response, Blicket has to be a blue triangle. 
A1CUB65DPTJV2Q, 0, 1491854390208, blicket, triangle, small, red, not_striped, 
A1CUB65DPTJV2Q, 3, 1491854460835, stimulus, square, big, red, not_striped, , N, 2365
A1CUB65DPTJV2Q, 4, 1491854462695, stimulus, square, small, red, striped, , N, 1852
A1CUB65DPTJV2Q, 5, 1491854463383, stimulus, square, small, red, not_striped, , N, 686
A1CUB65DPTJV2Q, 6, 1491854464203, stimulus, square, small, blue, striped, , N, 815
A1CUB65DPTJV2Q, 7, 1491854465721, stimulus, triangle, big, red, not_striped, , Y, 1514
A1CUB65DPTJV2Q, 8, 1491854467017, stimulus, triangle, big, red, striped, , Y, 1293
A1CUB65DPTJV2Q, 9, 1491854468236, stimulus, triangle, small, blue, not_striped, , Y, 1218
A1CUB65DPTJV2Q, 10, 1491854469471, stimulus, square, big, red, striped, , N, 1232
A1CUB65DPTJV2Q, 11, 1491854470359, stimulus, square, big, blue, not_striped, , N, 887
A1CUB65DPTJV2Q, 12, 1491854471210, stimulus, triangle, small, blue, striped, , Y, 848
A1CUB65DPTJV2Q, 13, 1491854472271, stimulus, triangle, small, red, not_striped, , Y, 1059
A1CUB65DPTJV2Q, 14, 1491854473069, stimulus, triangle, big, blue, not_striped, , Y, 796
A1CUB65DPTJV2Q, 15, 1491854473717, stimulus, triangle, big, blue, striped, , Y, 644
A1CUB65DPTJV2Q, 16, 1491854474626, stimulus, square, small, blue, not_striped, , N, 908
A1CUB65DPTJV2Q, 17, 1491854475273, stimulus, square, big, blue, striped, , N, 642
A1CUB65DPTJV2Q, 18, 1491854489664, Response, a triangle is a blicket
A2DXEPC4QFV4R1, 0, 1491854378969, blicket, triangle, big, red, striped, 
A2DXEPC4QFV4R1, 3, 1491854401623, stimulus, triangle, small, blue, striped, , N, 2319
A2DXEPC4QFV4R1, 4, 1491854402649, stimulus, square, big, red, not_striped, , Y, 1025
A2DXEPC4QFV4R1, 5, 1491854403655, stimulus, square, big, blue, not_striped, , N, 1004
A2DXEPC4QFV4R1, 6, 1491854404418, stimulus, triangle, small, red, striped, , Y, 759
A2DXEPC4QFV4R1, 7, 1491854405705, stimulus, square, small, blue, striped, , N, 1283
A2DXEPC4QFV4R1, 8, 1491854406294, stimulus, triangle, big, red, striped, , Y, 587
A2DXEPC4QFV4R1, 9, 1491854407609, stimulus, triangle, big, blue, striped, , N, 1313
A2DXEPC4QFV4R1, 10, 1491854409454, stimulus, square, small, red, striped, , Y, 1843
A2DXEPC4QFV4R1, 11, 1491854410351, stimulus, triangle, big, red, not_striped, , N, 896
A2DXEPC4QFV4R1, 12, 1491854411442, stimulus, square, big, red, striped, , Y, 1088
A2DXEPC4QFV4R1, 13, 1491854411994, stimulus, square, big, blue, striped, , N, 550
A2DXEPC4QFV4R1, 14, 1491854412723, stimulus, square, small, red, not_striped, , Y, 727
A2DXEPC4QFV4R1, 15, 1491854413682, stimulus, square, small, blue, not_striped, , N, 957
A2DXEPC4QFV4R1, 16, 1491854414083, stimulus, triangle, big, blue, not_striped, , N, 400
A2DXEPC4QFV4R1, 17, 1491854414966, stimulus, triangle, small, red, not_striped, , N, 879
A2DXEPC4QFV4R1, 18, 1491854428072, Response, I think it has to be red with stripes.
A3INEKAD86IRQC, 0, 1491854940667, blicket, square, small, blue, not_striped, 
A3INEKAD86IRQC, 3, 1491854970369, stimulus, triangle, small, blue, striped, , N, 3093
A3INEKAD86IRQC, 4, 1491854974416, stimulus, triangle, small, red, striped, , N, 4046
A3INEKAD86IRQC, 5, 1491854977545, stimulus, square, big, red, not_striped, , Y, 3128
A3INEKAD86IRQC, 6, 1491854980728, stimulus, triangle, big, blue, not_striped, , N, 3183
A3INEKAD86IRQC, 7, 1491854983624, stimulus, square, big, red, striped, , Y, 2895
A3INEKAD86IRQC, 8, 1491854984928, stimulus, triangle, small, blue, not_striped, , N, 1303
A3INEKAD86IRQC, 9, 1491854986080, stimulus, triangle, big, red, not_striped, , N, 1151
A3INEKAD86IRQC, 10, 1491854987080, stimulus, square, big, blue, striped, , Y, 999
A3INEKAD86IRQC, 11, 1491854988192, stimulus, square, small, blue, striped, , Y, 1111
A3INEKAD86IRQC, 12, 1491854989816, stimulus, square, small, red, not_striped, , Y, 1623
A3INEKAD86IRQC, 13, 1491854990464, stimulus, square, small, blue, not_striped, , Y, 647
A3INEKAD86IRQC, 14, 1491854992344, stimulus, square, big, blue, not_striped, , Y, 1879
A3INEKAD86IRQC, 15, 1491854993352, stimulus, triangle, big, red, striped, , N, 1006
A3INEKAD86IRQC, 16, 1491854994368, stimulus, triangle, big, blue, striped, , N, 1014
A3INEKAD86IRQC, 17, 1491854995800, stimulus, triangle, small, red, not_striped, , N, 1431
A3INEKAD86IRQC, 18, 1491855037097, Response, I think a square shape would be a blicket. The larger squares could possibly be "large" blickets.
A38N2MBXP7IOPS, 0, 1491855390549, blicket, triangle, big, red, striped, 
A38N2MBXP7IOPS, 3, 1491855406665, stimulus, square, big, red, not_striped, , N, 2194
A38N2MBXP7IOPS, 4, 1491855408969, stimulus, square, small, red, striped, , Y, 2300
A38N2MBXP7IOPS, 5, 1491855411074, stimulus, square, big, red, striped, , Y, 2102
A38N2MBXP7IOPS, 6, 1491855412161, stimulus, square, big, blue, striped, , N, 1082
A38N2MBXP7IOPS, 7, 1491855413105, stimulus, triangle, small, blue, not_striped, , N, 940
A38N2MBXP7IOPS, 8, 1491855414192, stimulus, square, small, blue, not_striped, , N, 1084
A38N2MBXP7IOPS, 9, 1491855415473, stimulus, triangle, small, red, not_striped, , N, 1279
A38N2MBXP7IOPS, 10, 1491855416417, stimulus, triangle, small, blue, striped, , N, 940
A38N2MBXP7IOPS, 11, 1491855417521, stimulus, triangle, big, red, striped, , Y, 1101
A38N2MBXP7IOPS, 12, 1491855418457, stimulus, triangle, small, red, striped, , Y, 933
A38N2MBXP7IOPS, 13, 1491855419641, stimulus, square, big, blue, not_striped, , N, 1182
A38N2MBXP7IOPS, 14, 1491855420777, stimulus, triangle, big, blue, striped, , N, 1133
A38N2MBXP7IOPS, 15, 1491855421506, stimulus, triangle, big, red, not_striped, , N, 725
A38N2MBXP7IOPS, 16, 1491855422609, stimulus, square, small, blue, striped, , N, 1099
A38N2MBXP7IOPS, 17, 1491855423609, stimulus, square, small, red, not_striped, , N, 998
A38N2MBXP7IOPS, 18, 1491855453992, Response, I thought the rules for being a blicket was to be black and red striped.
A1BSA7FVVJGZ15, 0, 1491855484062, blicket, triangle, big, red, not_striped, 
A1BSA7FVVJGZ15, 3, 1491855498830, stimulus, triangle, big, red, striped, , Y, 2235
A1BSA7FVVJGZ15, 4, 1491855499737, stimulus, triangle, big, blue, not_striped, , Y, 894
A1BSA7FVVJGZ15, 5, 1491855500994, stimulus, square, small, red, striped, , N, 1254
A1BSA7FVVJGZ15, 6, 1491855501841, stimulus, triangle, small, blue, not_striped, , Y, 845
A1BSA7FVVJGZ15, 7, 1491855502600, stimulus, square, big, blue, not_striped, , N, 757
A1BSA7FVVJGZ15, 8, 1491855503289, stimulus, triangle, big, red, not_striped, , Y, 685
A1BSA7FVVJGZ15, 9, 1491855504649, stimulus, square, big, blue, striped, , N, 1357
A1BSA7FVVJGZ15, 10, 1491855505689, stimulus, triangle, small, red, striped, , Y, 1037
A1BSA7FVVJGZ15, 11, 1491855507137, stimulus, square, small, red, not_striped, , N, 1446
A1BSA7FVVJGZ15, 12, 1491855508305, stimulus, square, big, red, not_striped, , N, 1166
A1BSA7FVVJGZ15, 13, 1491855508860, stimulus, triangle, big, blue, striped, , Y, 552
A1BSA7FVVJGZ15, 14, 1491855509780, stimulus, square, small, blue, not_striped, , N, 906
A1BSA7FVVJGZ15, 15, 1491855510416, stimulus, square, small, blue, striped, , N, 629
A1BSA7FVVJGZ15, 16, 1491855511150, stimulus, triangle, small, red, not_striped, , Y, 732
A1BSA7FVVJGZ15, 17, 1491855511945, stimulus, square, big, red, striped, , N, 790
A1BSA7FVVJGZ15, 18, 1491855550303, Response, triangle with its right angle pointed up and to the right.
AVXEDARJC5HLU, 0, 1491856291186, blicket, square, small, red, striped, 
AVXEDARJC5HLU, 3, 1491856405671, stimulus, triangle, small, red, striped, , Y, 3797
AVXEDARJC5HLU, 4, 1491856409378, stimulus, triangle, big, red, not_striped, , N, 3706
AVXEDARJC5HLU, 5, 1491856411687, stimulus, triangle, big, red, striped, , Y, 2306
AVXEDARJC5HLU, 6, 1491856413121, stimulus, square, small, red, striped, , Y, 1430
AVXEDARJC5HLU, 7, 1491856414637, stimulus, triangle, big, blue, striped, , Y, 1512
AVXEDARJC5HLU, 8, 1491856415745, stimulus, square, big, red, not_striped, , N, 1107
AVXEDARJC5HLU, 9, 1491856417635, stimulus, triangle, small, red, not_striped, , N, 1886
AVXEDARJC5HLU, 10, 1491856418199, stimulus, square, big, blue, not_striped, , N, 561
AVXEDARJC5HLU, 11, 1491856418745, stimulus, triangle, small, blue, not_striped, , N, 544
AVXEDARJC5HLU, 12, 1491856419296, stimulus, triangle, small, blue, striped, , Y, 546
AVXEDARJC5HLU, 13, 1491856419761, stimulus, square, small, blue, striped, , Y, 458
AVXEDARJC5HLU, 14, 1491856420755, stimulus, triangle, big, blue, not_striped, , N, 991
AVXEDARJC5HLU, 15, 1491856421402, stimulus, square, small, red, not_striped, , N, 644
AVXEDARJC5HLU, 16, 1491856421990, stimulus, square, big, red, striped, , Y, 586
AVXEDARJC5HLU, 17, 1491856422833, stimulus, square, small, blue, not_striped, , N, 840
AVXEDARJC5HLU, 18, 1491856433964, Response, Striped is a blicket
A3NT5NEO3OMH50, 0, 1491858494570, blicket, triangle, small, blue, not_striped, 
A3NT5NEO3OMH50, 3, 1491858681623, stimulus, square, big, blue, striped, , N, 2914
A3NT5NEO3OMH50, 4, 1491858683247, stimulus, triangle, big, blue, striped, , Y, 1622
A3NT5NEO3OMH50, 5, 1491858684582, stimulus, triangle, small, blue, not_striped, , Y, 1334
A3NT5NEO3OMH50, 6, 1491858685524, stimulus, square, big, blue, not_striped, , N, 941
A3NT5NEO3OMH50, 7, 1491858686452, stimulus, square, small, blue, striped, , N, 925
A3NT5NEO3OMH50, 8, 1491858687388, stimulus, triangle, small, red, not_striped, , Y, 935
A3NT5NEO3OMH50, 9, 1491858688704, stimulus, triangle, big, red, striped, , Y, 1312
A3NT5NEO3OMH50, 10, 1491858689743, stimulus, triangle, big, blue, not_striped, , Y, 1037
A3NT5NEO3OMH50, 11, 1491858690725, stimulus, triangle, small, blue, striped, , Y, 977
A3NT5NEO3OMH50, 12, 1491858691613, stimulus, square, small, red, not_striped, , N, 887
A3NT5NEO3OMH50, 13, 1491858692148, stimulus, square, big, red, striped, , N, 531
A3NT5NEO3OMH50, 14, 1491858693376, stimulus, triangle, big, red, not_striped, , Y, 1227
A3NT5NEO3OMH50, 15, 1491858693995, stimulus, triangle, small, red, striped, , Y, 616
A3NT5NEO3OMH50, 16, 1491858694943, stimulus, square, small, red, striped, , N, 944
A3NT5NEO3OMH50, 17, 1491858696001, stimulus, square, big, red, not_striped, , N, 1057
A3NT5NEO3OMH50, 18, 1491858705486, Response, A three sided shape
